"filename", "language", "Markdown", "Makefile", "Go Module File", "YAML", "Go Checksum File", "Go", "MS SQL", "comment", "blank", "total"
"d:\ilyap\GoProjects\golang-todoapp\Makefile", "Makefile", 0, 124, 0, 0, 0, 0, 0, 10, 13, 147
"d:\ilyap\GoProjects\golang-todoapp\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\ilyap\GoProjects\golang-todoapp\cmd\todoapp\main.go", "Go", 0, 0, 0, 0, 0, 82, 0, 18, 16, 116
"d:\ilyap\GoProjects\golang-todoapp\docker-compose.yaml", "YAML", 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\ilyap\GoProjects\golang-todoapp\go.mod", "Go Module File", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\ilyap\GoProjects\golang-todoapp\go.sum", "Go Checksum File", 0, 0, 0, 0, 54, 0, 0, 0, 1, 55
"d:\ilyap\GoProjects\golang-todoapp\internal\core\config\config.go", "Go", 0, 0, 0, 0, 0, 30, 0, 6, 8, 44
"d:\ilyap\GoProjects\golang-todoapp\internal\core\domain\nullable.go", "Go", 0, 0, 0, 0, 0, 5, 0, 7, 5, 17
"d:\ilyap\GoProjects\golang-todoapp\internal\core\domain\statistics.go", "Go", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\ilyap\GoProjects\golang-todoapp\internal\core\domain\task.go", "Go", 0, 0, 0, 0, 0, 162, 0, 2, 31, 195
"d:\ilyap\GoProjects\golang-todoapp\internal\core\domain\uninitialized.go", "Go", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\ilyap\GoProjects\golang-todoapp\internal\core\domain\user.go", "Go", 0, 0, 0, 0, 0, 103, 0, 3, 22, 128
"d:\ilyap\GoProjects\golang-todoapp\internal\core\errors\common.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\ilyap\GoProjects\golang-todoapp\internal\core\logger\config.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 9, 33
"d:\ilyap\GoProjects\golang-todoapp\internal\core\logger\logger.go", "Go", 0, 0, 0, 0, 0, 73, 0, 1, 20, 94
"d:\ilyap\GoProjects\golang-todoapp\internal\core\repository\postgres\conn\errors.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\ilyap\GoProjects\golang-todoapp\internal\core\repository\postgres\conn\pgx\adapters.go", "Go", 0, 0, 0, 0, 0, 47, 0, 2, 12, 61
"d:\ilyap\GoProjects\golang-todoapp\internal\core\repository\postgres\conn\pgx\config.go", "Go", 0, 0, 0, 0, 0, 29, 0, 1, 9, 39
"d:\ilyap\GoProjects\golang-todoapp\internal\core\repository\postgres\conn\pgx\pool.go", "Go", 0, 0, 0, 0, 0, 72, 0, 0, 16, 88
"d:\ilyap\GoProjects\golang-todoapp\internal\core\repository\postgres\conn\pool.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\middleware\common.go", "Go", 0, 0, 0, 0, 0, 77, 0, 6, 19, 102
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\middleware\dummy.go", "Go", 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\middleware\middleware.go", "Go", 0, 0, 0, 0, 0, 15, 0, 1, 6, 22
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\request\decode.go", "Go", 0, 0, 0, 0, 0, 38, 0, 0, 10, 48
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\request\path_values.go", "Go", 0, 0, 0, 0, 0, 28, 0, 1, 5, 34
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\request\query_params.go", "Go", 0, 0, 0, 0, 0, 43, 0, 0, 9, 52
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\response\handler.go", "Go", 0, 0, 0, 0, 0, 86, 0, 3, 20, 109
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\response\writer.go", "Go", 0, 0, 0, 0, 0, 25, 0, 3, 8, 36
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\server\config.go", "Go", 0, 0, 0, 0, 0, 25, 0, 0, 9, 34
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\server\route.go", "Go", 0, 0, 0, 0, 0, 17, 0, 2, 5, 24
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\server\router.go", "Go", 0, 0, 0, 0, 0, 39, 0, 2, 10, 51
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\server\server.go", "Go", 0, 0, 0, 0, 0, 72, 0, 11, 21, 104
"d:\ilyap\GoProjects\golang-todoapp\internal\core\transport\http\types\nullable.go", "Go", 0, 0, 0, 0, 0, 27, 0, 27, 11, 65
"d:\ilyap\GoProjects\golang-todoapp\internal\features\statistics\repository\postgres\get_tasks.go", "Go", 0, 0, 0, 0, 0, 69, 0, 1, 18, 88
"d:\ilyap\GoProjects\golang-todoapp\internal\features\statistics\repository\postgres\models.go", "Go", 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"d:\ilyap\GoProjects\golang-todoapp\internal\features\statistics\repository\postgres\repository.go", "Go", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\ilyap\GoProjects\golang-todoapp\internal\features\statistics\service\get_statistics.go", "Go", 0, 0, 0, 0, 0, 58, 0, 3, 13, 74
"d:\ilyap\GoProjects\golang-todoapp\internal\features\statistics\service\service.go", "Go", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
